Адыгейск;Adygeisk
Ладушкин;Ladushkin
Мамоново;Mamonovo
Неман;Neman
Нестеров;Nesterov
Озёрск;Ozersk
Пионерский;Pionersky
Полесск;Polessk
Правдинск;Pravdinsk
Светлогорск;Svetlogorsk
Светлый;Svetliy
Славск;Slavsk
Советск;Sovetsk
Черняховск;Chernyakhovsk
Приморск;Primorsk
Городовиковск;Gorodovikovsk
Лагань;Lagan
Элиста;Elista
Балабаново;Balabanovo
Белоусово;Belousovo
Боровск;Borovsk
Ермолино;Ermolino
Жиздра;Zhizdra
Жуков;Zhukov
Калуга;Kaluga
Киров;Kirov
Козельск;Kozelsk
Кондрово;Kondrovo
Кремёнки;Kremlenki
Людиново;Lyudinovo
Малоярославец;Maloyaroslavets
Медынь;Medyn
Мещовск;Meshchovsk
Мосальск;Mosalsk
Обнинск;Obninsk
Сосенский;Sosensky
Спас-Деменск;Spas-Demensk
Сухиничи;Sukhinichi
Таруса;Tarusa
Юхнов;Yukhnov
Вилючинск;Vilyuchinsk
Елизово;Yelizovo
Петропавловск-Камчатский;Petropavlovsk-Kamchatsky
Карачаевск;Karachaevsk
Теберда;Teberda
Усть-Джегута;Ust-Dzheguta
Черкесск;Cherkessk
Беломорск;Belomorsk
Кемь;Kem
Кондопога;Kondopoga
Костомукша;Kostomuksha
Лахденпохья;Lahdenpohja
Медвежьегорск;Medvezhegorsk
Олонец;Olonets
Петрозаводск;Petrozavodsk
Питкяранта;Pitkyaranta
Пудож;Pudozh
Сегежа;Segezha
Сортавала;Sortavala
Суоярви;Suhoyavi
Анжеро-Судженск;Anzhero-Sudzhensk
Белово;Belovo
Берёзовский;Berezovsky
Гурьевск;Guryevsk
Калтан;Kaltan
Кемерово;Kemerovo
Киселёвск;Kiselevsk
Ленинск-Кузнецкий;Leninsk-Kuznetsky
Мариинск;Mariinsk
Междуреченск;Mezhdurechensk
Мыски;Myski
Новокузнецк;Novokuznetsk
Осинники;Osinniki
Полысаево;Polysaevo
Прокопьевск;Prokopyevsk
Салаир;Salair
Тайга;Taiga
Таштагол;Tashtagol
Топки;Furnaces
Юрга;Yurga
Белая Холуница;White Kholunitsa
Вятские Поляны;Vyatskiye Polyany
Зуевка;Zuevka
Кирово-Чепецк;Kirovo-Chepetsk
Кирс;Kirs
Котельнич;Kotelnich
Луза;Luza
Малмыж;Malmyzh
Мураши;Murashi
Нолинск;Nolinsk
Омутнинск;Omutninsk
Орлов;Orlov
Слободской;Slobodskoy
Сосновка;Sosnovka
Уржум;Urzhum
Яранск;Yaransk
Воркута;Vorkuta
Вуктыл;Vuktyl
Емва;Emva
Инта;Inta
Микунь;Mikun
Печора;Pechora
Сосногорск;Sosnogorsk
Сыктывкар;Syktyvkar
Усинск;Usinsk
Ухта;Ukhta
Буй;Buoy
Волгореченск;Volgorechensk
Галич;Galich
Кологрив;Kologriv
Кострома;Kostroma
Макарьев;Makariev
Мантурово;Manturovo
Нерехта;Nerekhta
Нея;Neya
Солигалич;Soligalich
Чухлома;Chukhloma
Шарья;Sharya
Абинск;Abinsk
Анапа;Anapa
Апшеронск;Apsheronsk
Армавир;Armavir
Белореченск;Belorechensk
Геленджик;Gelendzhik
Горячий Ключ;Goryachi Kluch
Гулькевичи;Gulkevichi
Ейск;Yeisk
Кореновск;Korenovsk
Краснодар;Krasnodar
Кропоткин;Kropotkin
Крымск;Krymsk
Курганинск;Kurganinsk
Лабинск;Labinsk
Новокубанск;Novokubansk
Новороссийск;Novorossiysk
Приморско-Ахтарск;Primorsko-Akhtarsk
Славянск-на-Кубани;Slavyansk-on-Kuban
Сочи;Sochi
Темрюк;Temryuk
Тимашёвск;Timashevsk
Тихорецк;Tikhoretsk
Туапсе;Tuapse
Усть-Лабинск;Ust-Labinsk
Хадыженск;Khadyzhensk
Артёмовск;Artyomovsk
Ачинск;Achinsk
Боготол;Bogotol
Бородино;Borodino
Дивногорск;Divnogorsk
Дудинка;Dudinka
Енисейск;Yeniseisk
Железногорск;Zheleznogorsk
Заозёрный;Zaozyorny
Зеленогорск;Zelenogorsk
Игарка;Igarka
Иланский;Ilansky
Канск;Kansk
Кодинск;Kodinsk
Красноярск;Krasnoyarsk
Лесосибирск;Lesosibirsk
Минусинск;Minusinsk
Назарово;Nazarovo
Норильск;Norilsk
Сосновоборск;Sosnovoborsk
Ужур;Uzhur
Уяр;Uyar
Шарыпово;Sharypovo
Далматово;Dalmatovo
Катайск;Kataysk
Курган;Kyrgan
Куртамыш;Kurtamysh
Макушино;Makushino
Петухово;Petukhovo
Шадринск;Shadrinsk
Шумиха;Shumiha
Щучье;Shchuchye
Дмитриев;Dmitriev
Курск;Kursk
Курчатов;Kurchatov
Льгов;Lgov
Обоянь;Oboyan
Рыльск;Rylsk
Суджа;Suja
Фатеж;Fatezh
Щигры;Shchigry
Бокситогорск;Boksitogorsk
Волосово;Volosovo
Волхов;Volkhov
Всеволожск;Vsevolozhsk
Выборг;Vyborg
Высоцк;Vysotsk
Гатчина;Gatchina
Ивангород;Ivangorod
Каменногорск;Kamennogorsk
Кингисепп;Kingisepp
Кириши;Kirishi
Кировск;Kirovsk
Коммунар;Kommunar
Лодейное Поле;Lodeinoe Pole
Луга;Luga
Любань;Lyuban
Никольское;Nikolskoe
Новая Ладога;Novaya Ladoga
Отрадное;Otradnoe
Пикалёво;Pikalevo
Подпорожье;Podporozhye
Приозерск;Priozersk
Светогорск;Svetogorsk
Сертолово;Sertolovo
Сланцы;Slanci
Сосновый Бор;Sosnoviy Bor
Сясьстрой;Syasstroy
Тихвин;Tikhvin
Тосно;Tosno
Шлиссельбург;Shlisselburg
Грязи;Gryazi
Данков;Dankov
Елец;Elec
Задонск;Zadonsk
Лебедянь;Lebedyan
Липецк;Lipetsk
Усмань;Usman
Чаплыгин;Chaplygin
Магадан;Magadan
Сусуман;Susuman
Волжск;Volzhsk
Звенигово;Zvenigovo
Йошкар-Ола;Yoshkar-Ola
Козьмодемьянск;Kozmodemyansk
Ардатов;Ardatov
Инсар;Insar
Ковылкино;Kovylkino
Рузаевка;Ruzaevka
Саранск;Saransk
Темников;Temnikov
Апрелевка;Aprelevka
Балашиха;Balashikha
Бронницы;Bronnitsy
Верея;Vereya
Видное;Vidnoe
Волоколамск;Volokolamsk
Воскресенск;Voskresensk
Высоковск;Vysokovsk
Голицыно;Golitsyno
Дедовск;Dedovsk
Дзержинский;Dzerzhinsky
Дмитров;Dmitrov
Долгопрудный;Dolgoprudny
Домодедово;Domodedovo
Дрезна;Drezna
Дубна;Dubna
Егорьевск;Egorievsk
Железнодорожный;Railway
Жуковский;Zhukovsky
Зарайск;Zaraysk
Звенигород;Zvenigorod
Ивантеевка;Ivanteevka
Истра;Istra
Кашира;Kashira
Климовск;Klimovsk
Клин;Klin
Коломна;Kolomna
Котельники;Kotelniki
Королёв;Korolev
Красноармейск;Krasnoarmeysk
Красногорск;Krasnogorsk
Краснозаводск;Krasnozavodsk
Кубинка;Cuban
Куровское;Kurovskoe
Ликино-Дулёво;Likino-Dulyovo
Лобня;Lobnya
Лосино-Петровский;Losino-Petrovsky
Луховицы;Lukhovitsy
Лыткарино;Lytkarino
Люберцы;Lyubertsy
Можайск;Mozhaisk
Московский;Moscowskyi
Мытищи;Mytischi
Наро-Фоминск;Naro-Fominsk
Ногинск;Noginsk
Одинцово;Odintsovo
Ожерелье;Necklace
Озёры;Ozeri
Орехово-Зуево;Orekhovo-Zuevo
Павловский Посад;Pavlovsky Posad
Пересвет;Peresvet
Подольск;Podolsk
Протвино;Protvino
Пушкино;Pushkino
Пущино;Pushchino
Раменское;Ramenskoe
Реутов;Reutov
Рошаль;Roshal
Руза;Ruza
Сергиев Посад;Sergiev Posad
Серпухов;Serpukhov
Солнечногорск;Solnechnogorsk
Старая Купавна;Staraya Kupavna
Ступино;Stupino
Талдом;Taldom
Троицк;Troitsk
Фрязино;Fryazino
Химки;Khimki
Хотьково;Khotkovo
Черноголовка;Chernogolovka
Чехов;Chekhov
Шатура;Shatura
Щёлково;Shchelkovo
Щербинка;Shcherbinka
Электрогорск;Electrogorsk
Электросталь;Elektrostal
Электроугли;Electrocoals
Юбилейный;Anniversary
Яхрома;Yakhroma
Апатиты;Apatity
Гаджиево;Gadzhievo
Заозёрск;Zaozersk
Заполярный;Zapolyarny
Кандалакша;Kandalaksha
Ковдор;Kovdor
Кола;Cola
Мончегорск;Monchegorsk
Мурманск;Murmansk
Оленегорск;Olenegorsk
Островной;Ostrovnoy
Полярные Зори;Polarnie Zori
Полярный;Ploarniy
Североморск;Severomorsk
Снежногорск;Snezhnogorsk
Нарьян-Мар;Naryan-Mar
Арзамас;Arzamas
Балахна;Balakhna
Богородск;Bogorodsk
Бор;Bor
Ветлуга;Vetluga
Володарск;Volodarsk
Ворсма;Vorsma
Выкса;Vyksa
Горбатов;Gorbatov
Городец;Gorodets
Дзержинск;Dzerzhinsk
Заволжье;Zavolzhie
Княгинино;Knyaginino
Кстово;Kstovo
Кулебаки;Kulebaki
Лукоянов;Lukoyanov
Лысково;Lyskovo
Навашино;Navashino
Нижний Новгород;Nizhny Novgorod
Павлово;Pavlovo
Первомайск;Pervomaisk
Перевоз;Perevoz
Саров;Sarov
Семёнов;Semyonov
Сергач;Sergach
Урень;Level
Чкаловск;Chkalovsk
Шахунья;Shakhunya
Боровичи;Borovichi
Валдай;Valdai
Великий Новгород;Velikiy Novgorod
Малая Вишера;Malaya Vishera
Окуловка;Okulovka
Пестово;Pestovo
Сольцы;Soltsy
Старая Русса;Staraya Russa
Холм;Hill
Чудово;Chudovo
Барабинск;Barabinsk
Бердск;Berdsk
Болотное;Swamp
Искитим;Iskitim
Карасук;Karasuk
Каргат;Kargat
Куйбышев;Kuibyshev
Купино;Kupino
Новосибирск;Novosibirsk
Обь;Ob
Татарск;Tatarsk
Тогучин;Toguchin
Черепаново;Cherepanovo
Чулым;Chulym
Исилькуль;Isilkul
Калачинск;Kalachinsk
Называевск;Nazyvaevsk
Омск;Omsk
Тара;Tara
Тюкалинск;Tyukalinsk
Абдулино;Abdulino
Бугуруслан;Buguruslan
Бузулук;Buzuluk
Гай;Gai
Кувандык;Kuvandyk
Медногорск;Mednogorsk
Новотроицк;Novotroitsk
Оренбург;Orenburg
Орск;Orsk
Соль-Илецк;Sol-Iletsk
Сорочинск;Sorochinsk
Ясный;Clear
Болхов;Bolkhov
Дмитровск;Dmitrovsk
Ливны;Livny
Малоархангельск;Maloarkhangelsk
Мценск;Mtsensk
Новосиль;Novosil
Орёл;Orel
Белинский;Belinsky
Городище;Settlement
Заречный;Zarechny
Каменка;Kamenka
Кузнецк;Kuznetsk
Нижний Ломов;Nizhny Lomov
Пенза;Penza
Сердобск;Serdobsk
Спасск;Spassk
Сурск;Sursk
Александровск;Alexandrovsk
Березники;Berezniki
Верещагино;Vereshchagino
Горнозаводск;Gornozavodsk
Гремячинск;Gremyachinsk
Губаха;Lipakha
Добрянка;Dobryanka
Кизел;Kizel
Красновишерск;Krasnovishersk
Краснокамск;Krasnokamsk
Кудымкар;Kudymkar
Кунгур;Kungur
Лысьва;Lysva
Нытва;Nytva
Оса;Osa
Оханск;Okhansk
Очёр;Ocher
Пермь;Permian
Соликамск;Solikamsk
Усолье;Usolye
Чайковский;Chaikovsky
Чердынь;Cherdyn
Чёрмоз;Chermoz
Чернушка;Nigella
Чусовой;Chusovoy
Арсеньев;Arseniev
Артём;Artyom
Большой Камень;Bolshoi Kamen
Владивосток;Vladivostok
Дальнегорск;Dalnegorsk
Дальнереченск;Dalnerechensk
Лесозаводск;Lesozavodsk
Находка;Nahodka
Партизанск;Partizansk
Спасск-Дальний;Spassk-Dalny
Уссурийск;Ussuriysk
Великие Луки;Velikie Luki
Гдов;Gdov
Дно;Bottom
Невель;Nevel
Новоржев;Novorzhev
Новосокольники;Novosokolniki
Опочка;Opochka
Остров;Ostrov
Печоры;Pechory
Порхов;Porkhov
Псков;Pskov
Пустошка;Wasteland
Пыталово;Pytalovo
Себеж;Sebezh
Азов;Azov
Аксай;Aksai
Батайск;Bataysk
Белая Калитва;Belaya Kalitva
Волгодонск;Volgodonsk
Гуково;Gukovo
Донецк;Donetsk
Зверево;Zverevo
Зерноград;Zernograd
Каменск-Шахтинский;Kamensk-Shakhtinsky
Константиновск;Konstantinovsk
Красный Сулин;Krasniy Sulin
Миллерово;Millerovo
Морозовск;Morozovsk
Новочеркасск;Novocherkassk
Новошахтинск;Novoshakhtinsk
Пролетарск;Proletarsk
Ростов-на-Дону;Rostov-on-Don
Сальск;Salsk
Семикаракорск;Semikarakorsk
Таганрог;Taganrog
Цимлянск;Tsimlyansk
Шахты;Mines
Касимов;Kasimov
Кораблино;Korablino
Михайлов;Mikhailov
Новомичуринск;Novomichurinsk
Рыбное;Rybnoe
Ряжск;Ryazhsk
Рязань;Ryazan
Сасово;Sasovo
Скопин;Skopin
Спас-Клепики;Spas-Klepiki
Спасск-Рязанский;Spassk-Ryazansky
Шацк;Shatsk
Жигулёвск;Zhigulevsk
Кинель;Kinel
Нефтегорск;Neftegorsk
Новокуйбышевск;Novokuibyshevsk
Октябрьск;Oktyabrsk
Похвистнево;Pokhvistnevo
Самара;Samara
Сызрань;Sizran
Тольятти;Tolyatti
Чапаевск;Chapaevsk
Колпино;Kolpino
Красное Село;Krasniy Village
Кронштадт;Kronstadt
Ломоносов;Lomonosov
Петергоф;Peterhof
Пушкин;Pushkin
Сестрорецк;Sestroretsk
Аркадак;Arkadak
Аткарск;Atkarsk
Балаково;Balakovo
Балашов;Balashov
Вольск;Volsk
Ершов;Ershov
Калининск;Kalininsk
Красный Кут;Krasniy Kut
Маркс;Marx
Новоузенск;Novouzensk
Петровск;Petrovsk
Пугачёв;Pugachev
Ртищево;Rtishchevo
Саратов;Saratov
Хвалынск;Khvalynsk
Шиханы;Shihan
Энгельс;Engels
Александровск-Сахалинский;Alexandrovsk-Sakhalinsky
Анива;Aniva
Долинск;Dolinsk
Корсаков;Korsakov
Курильск;Kurilsk
Макаров;Makarov
Невельск;Nevelsk
Оха;Okha
Поронайск;Poronaysk
Северо-Курильск;Severo-Kurilsk
Томари;Tomari
Углегорск;Uglegorsk
Холмск;Kholmsk
Шахтёрск;Shakhtersk
Южно-Сахалинск;Yuzhno-Sakhalinsk
Алапаевск;Alapaevsk
Арамиль;Aramil
Артёмовский;Artyomovsky
Асбест;Asbestos
Богданович;Bogdanovich
Верхний Тагил;Verkhniy Tagil
Верхняя Пышма;Verhnyaya Pyshma
Верхняя Салда;Verhnyaya Salda
Верхняя Тура;Verhnyaya Tura
Верхотурье;Verkhoturye
Волчанск;Volchansk
Дегтярск;Degtyarsk
Екатеринбург;Ekaterinburg
Ивдель;Ivdel
Ирбит;Irbit
Каменск-Уральский;Kamensk-Uralsky
Камышлов;Kamyshlov
Карпинск;Karpinsk
Качканар;Kachkanar
Кировград;Kirovgrad
Краснотурьинск;Krasnoturinsk
Красноуральск;Krasnouralsk
Красноуфимск;Krasnoufimsk
Кушва;Kushva
Лесной;Lesnoy
Михайловск;Mikhailovsk
Невьянск;Nevyansk
Нижние Серги;Niznie Sergi
Нижний Тагил;Nizhniy Tagil
Нижняя Салда;Nizhnyaya Salda
Нижняя Тура;Nizhnyaya Tura
Новая Ляля;Novaya Lyalya
Новоуральск;Novouralsk
Первоуральск;Pervouralsk
Полевской;Polevskoy
Ревда;Revda
Реж;Rezh
Североуральск;Severouralsk
Серов;Serov
Среднеуральск;Sredneuralsk
Сухой Лог;Sukhoi Log
Сысерть;Sysert
Тавда;Tavda
Талица;Talitsa
Туринск;Turinsk
Алагир;Alagir
Ардон;Ardon
Беслан;Beslan
Владикавказ;Vladikavkaz
Дигора;Digora
Моздок;Mozdok
Велиж;Velizh
Вязьма;Vyazma
Гагарин;Gagarin
Демидов;Demidov
Десногорск;Desnogorsk
Дорогобуж;Dorogobuzh
Духовщина;Dukhovshchina
Ельня;Yelnya
Починок;Pochinok
Рославль;Roslavl
Рудня;Rudnya
Сафоново;Safonovo
Смоленск;Smolensk
Сычёвка;Sychovka
Ярцево;Yartsevo
Благодарный;Blagorodniy
Будённовск;Budyonnovsk
Георгиевск;Georgievsk
Ессентуки;Essentuki
Железноводск;Zheleznovodsk
Зеленокумск;Zelenokumsk
Изобильный;Abundant
Ипатово;Ipatovo
Кисловодск;Kislovodsk
Лермонтов;Lermontov
Минеральные Воды;Mineralnie Vodi
Невинномысск;Nevinnomyssk
Нефтекумск;Neftekumsk
Новоалександровск;Novoaleksandrovsk
Новопавловск;Novopavlovsk
Пятигорск;Pyatigorsk
Светлоград;Svetlograd
Ставрополь;Stavropol
Жердевка;Zherdevka
Кирсанов;Kirsanov
Котовск;Kotovsk
Мичуринск;Michurinsk
Моршанск;Morshansk
Рассказово;Rasskazovo
Тамбов;Tambov
Уварово;Uvarovo
Агрыз;Agryz
Азнакаево;Aznakaevo
Альметьевск;Almetyevsk
Арск;Arsk
Бавлы;Bavly
Болгар;Bulgarians
Бугульма;Bugulma
Буинск;Buinsk
Елабуга;Elabuga
Заинск;Zainsk
Зеленодольск;Zelenodolsk
Казань;Kazan
Лаишево;Laishevo
Лениногорск;Leninogorsk
Мамадыш;Mamadysh
Менделеевск;Mendeleevsk
Мензелинск;Menzelinsk
Набережные Челны;Naberezhnye Chelny
Нижнекамск;Nizhnekamsk
Нурлат;Nurlat
Тетюши;Aunty
Чистополь;Chistopol
Андреаполь;Andreapol
Бежецк;Bezhetsk
Белый;Beliy
Бологое;Bologoye
Весьегонск;Vesyegonsk
Вышний Волочёк;Vyshny Volochek
Западная Двина;Zapadnaya Dvina
Зубцов;Zubtsov
Калязин;Kalyazin
Кашин;Kashin
Кимры;Kimry
Конаково;Konakovo
Красный Холм;Krashiy Holm
Кувшиново;Kuvshinovo
Лихославль;Likhoslavl
Нелидово;Nelidovo
Осташков;Ostashkov
Ржев;Rzhev
Старица;Stariza
Тверь;Tver
Торжок;Torzhok
Торопец;Toropets
Удомля;Udomlya
Асино;Asino
Кедровый;Cedar
Колпашево;Kolpashevo
Северск;Seversk
Стрежевой;Strezhevoy
Томск;Tomsk
Алексин;Aleksin
Белёв;Belyov
Богородицк;Bogoroditsk
Болохово;Bolokhovo
Венёв;Venev
Донской;Donskoy
Ефремов;Efremov
Кимовск;Kimovsk
Киреевск;Kireevsk
Липки;Sticky
Новомосковск;Novomoskovsk
Плавск;Plavsk
Суворов;Suvorov
Тула;Tula
Узловая;Nodal
Чекалин;Chekalin
Щёкино;Shchekino
Ясногорск;Yasnogorsk
Ак-Довурак;Ak-Dovurak
Кызыл;Kyzyl
Туран;Turan
Чадан;Chadan
Шагонар;Shagonar
Заводоуковск;Zavodoukovsk
Ишим;Ishim
Тобольск;Tobolsk
Тюмень;Tyumen
Ялуторовск;Yalutorovsk
Воткинск;Votkinsk
Глазов;Glazov
Ижевск;Izhevsk
Камбарка;Kambarka
Можга;Mozhga
Сарапул;Sarapul
Барыш;Profit
Димитровград;Dimitrovgrad
Инза;Inza
Новоульяновск;Novoulyanovsk
Сенгилей;Sengiley
Ульяновск;Ulyanovsk
Амурск;Amursk
Бикин;Bikin
Вяземский;Vyazemsky
Комсомольск-на-Амуре;Komsomolsk-on-Amur
Николаевск-на-Амуре;Nikolaevsk-on-Amur
Советская Гавань;Sovetskaya Gavan
Хабаровск;Khabarovsk
Абаза;Abaza
Абакан;Abakan
Саяногорск;Sayanogorsk
Сорск;Sorsk
Черногорск;Chernogorsk
Белоярский;Beloyarsky
Когалым;Kogalym
Лангепас;Langepas
Лянтор;Lyantor
Мегион;Megion
Нефтеюганск;Nefteyugansk
Нижневартовск;Nizhnevartovsk
Нягань;Nyagan
Покачи;Pokachi
Пыть-Ях;Pyt-Yah
Советский;Soviet
Сургут;Surgut
Урай;Uray
Ханты-Мансийск;Khanty-Mansiysk
Югорск;Yugorsk
Аша;Asha
Бакал;Bakal
Верхнеуральск;Verkhneuralsk
Верхний Уфалей;Verkhny Ufaley
Еманжелинск;Emanzhelinsk
Златоуст;Zlatoust
Карабаш;Karabash
Карталы;Kartaly
Касли;Kasli
Катав-Ивановск;Katav-Ivanovsk
Копейск;Kopeysk
Коркино;Korkino
Куса;Kusa
Кыштым;Kyshtym
Магнитогорск;Magnitogorsk
Миасс;Miass
Миньяр;Minyar
Нязепетровск;Nyazepetrovsk
Пласт;Plast
Сатка;Satka
Сим;Sim
Снежинск;Snezhinsk
Трёхгорный;Trekhgorny
Усть-Катав;Ust-Katav
Чебаркуль;Chebarkul
Челябинск;Chelyabinsk
Южноуральск;Yuzhnouralsk
Юрюзань;Yuryuzan
Аргун;Argun
Грозный;Grozny
Гудермес;Gudermes
Урус-Мартан;Urus-Martan
Шали;Shali
Алатырь;Alatyr
Канаш;Kanash
Козловка;Kozlovka
Мариинский Посад;Mariinsky Posad
Новочебоксарск;Novocheboksarsk
Цивильск;Tsivilsk
Чебоксары;Cheboksary
Шумерля;Sumerlya
Ядрин;Yadrin
Анадырь;Anadyr
Билибино;Bilibino
Певек;Pevek
Алдан;Aldan
Верхоянск;Verkhoyansk
Вилюйск;Vilyuisk
Ленск;Lensk
Нерюнгри;Neryungri
Нюрба;Nyurba
Олёкминск;Olekminsk
Покровск;Pokrovsk
Среднеколымск;Srednekolymsk
Томмот;Tommot
Удачный;Ydachiy
Якутск;Yakutsk
Губкинский;Gubkinsky
Лабытнанги;Labytnangi
